,mean_fit_time,mean_score_time,mean_test_score,model_key,model_name,param_imputer__strategy,param_regressor__alpha,param_regressor__max_features,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score,training_x
33,1.3358188152313233,0.021502304077148437,0.9626766234011589,rfr,Random forest regression,most_frequent,,0.5,"{'imputer__strategy': 'most_frequent', 'regressor__max_features': 0.5}",4,0.9638240446235643,0.9548335120081187,0.9680850382171505,0.9601120499221527,0.9665284722348079,0.015819913438909462,0.0004231971928561211,0.004764361429900245,X
34,1.3947603225708007,0.02174267768859863,0.9625217058599361,rfr,Random forest regression,mean,,0.5,"{'imputer__strategy': 'mean', 'regressor__max_features': 0.5}",5,0.9644677702838541,0.9544939797868635,0.9684503338295732,0.95982279932561,0.9653736460737797,0.0495931502887959,0.0007853051353570843,0.004874378764787573,X
35,1.362834644317627,0.02178030014038086,0.9619083427962053,rfr,Random forest regression,median,,0.5,"{'imputer__strategy': 'median', 'regressor__max_features': 0.5}",6,0.9636314302519667,0.9541892166133419,0.9675287424939494,0.9593179491253176,0.9648743754964513,0.025322014639013596,0.0008340102100682302,0.004682954655314845,X
36,2.2676252365112304,0.021155548095703126,0.9617255823596986,rfr,Random forest regression,constant,,1.0,"{'imputer__strategy': 'constant', 'regressor__max_features': 1.0}",7,0.9623478731440092,0.9536216744331931,0.9678961188479769,0.9594774855725049,0.9652847598008087,0.01751089881877267,0.0003733615887375232,0.004936755478582829,X
37,1.665807056427002,0.022188615798950196,0.961696087658488,rfr,Random forest regression,mean,,0.66,"{'imputer__strategy': 'mean', 'regressor__max_features': 0.66}",8,0.9646092864176264,0.9523094469033592,0.9673139640728076,0.9604735034022321,0.9637742374964143,0.04112389724654876,0.001126694681026056,0.005176286431316901,X
38,2.432357931137085,0.022556829452514648,0.9616610353089126,rfr,Random forest regression,most_frequent,,1.0,"{'imputer__strategy': 'most_frequent', 'regressor__max_features': 1.0}",9,0.963361956009919,0.9539733969668196,0.9660215166473974,0.9604052859223727,0.9645430209980547,0.09643645725886715,0.0009543490693100559,0.004263553917740928,X
39,1.563371229171753,0.023066997528076172,0.9613224067410007,rfr,Random forest regression,median,,0.66,"{'imputer__strategy': 'median', 'regressor__max_features': 0.66}",10,0.9630881619750367,0.9519047003154355,0.9677767913532894,0.9593877665510979,0.9644546135101439,0.016195446178009547,0.0018268156218355929,0.005422614102018705,X
40,2.4009381771087646,0.03727717399597168,0.9661413935386092,rfr,Random forest regression,constant,,0.5,"{'imputer__strategy': 'constant', 'regressor__max_features': 0.5}",1,0.967569714029866,0.9574570975222162,0.9712763940708568,0.9643077242015979,0.9700960378685088,0.1138935074651215,0.014974350707266356,0.004956347086429056,X_with_covar
41,2.9019344329833983,0.027550315856933592,0.9659100409739055,rfr,Random forest regression,most_frequent,,0.66,"{'imputer__strategy': 'most_frequent', 'regressor__max_features': 0.66}",2,0.9678539178978242,0.9585746677874596,0.9696210668070616,0.9632786420030582,0.9702219103741241,0.05121414509907771,0.0007849304739722918,0.00440169395306949,X_with_covar
42,3.204079580307007,0.029384088516235352,0.9657718000622608,rfr,Random forest regression,constant,,0.66,"{'imputer__strategy': 'constant', 'regressor__max_features': 0.66}",3,0.9672118943814934,0.9570649717000503,0.9712894006247648,0.9642644839560548,0.9690282496489411,0.1872680125424444,0.001868263560264752,0.00492347668826086,X_with_covar
43,2.379932928085327,0.026979494094848632,0.9657508788356439,rfr,Random forest regression,most_frequent,,0.5,"{'imputer__strategy': 'most_frequent', 'regressor__max_features': 0.5}",4,0.9678961776569569,0.9572683296984122,0.9708118161711317,0.9627290457681492,0.9700490248835699,0.00920177637614229,0.0005694018187187861,0.005094596512955993,X_with_covar
44,2.311149024963379,0.02815723419189453,0.9654326525820673,rfr,Random forest regression,mean,,0.5,"{'imputer__strategy': 'mean', 'regressor__max_features': 0.5}",5,0.9666798094203337,0.9584331553264396,0.9699287588516448,0.9628332369069545,0.9692883024049638,0.016245221025643422,0.0026996618756065394,0.004298519070724984,X_with_covar
45,1.732731580734253,0.02798147201538086,0.9651172428987111,rfr,Random forest regression,constant,,0.33,"{'imputer__strategy': 'constant', 'regressor__max_features': 0.33}",6,0.966572649950165,0.9556302333362002,0.9727442015616335,0.9611285930182548,0.9695105366273018,0.02288641534521488,0.001711750395803122,0.00609101660193207,X_with_covar
46,2.441539764404297,0.028237676620483397,0.9647184635511781,rfr,Random forest regression,median,,0.5,"{'imputer__strategy': 'median', 'regressor__max_features': 0.5}",7,0.9650617941586664,0.9588049994931314,0.9697719341748663,0.9613879722211892,0.9685656177080378,0.04186334590177289,0.0009680974070998322,0.00415974196368243,X_with_covar
47,2.8568596839904785,0.028212451934814455,0.964424878987422,rfr,Random forest regression,mean,,0.66,"{'imputer__strategy': 'mean', 'regressor__max_features': 0.66}",8,0.9660991739757447,0.9566892388466343,0.9690268836357339,0.9623198715434547,0.9679892269355429,0.035950101270741795,0.001674998582632258,0.0044934946648061075,X_with_covar
48,1.7609591007232666,0.027433156967163086,0.9644238354960073,rfr,Random forest regression,most_frequent,,0.33,"{'imputer__strategy': 'most_frequent', 'regressor__max_features': 0.33}",9,0.9663925588738919,0.955041610659577,0.9699866349754893,0.9615322492276419,0.969166123743436,0.011074151565401154,0.002072143688556543,0.005544318202231599,X_with_covar
49,3.0037353515625,0.029961776733398438,0.964398095923382,rfr,Random forest regression,median,,0.66,"{'imputer__strategy': 'median', 'regressor__max_features': 0.66}",10,0.9657236881604042,0.9555782501169422,0.9698909016728868,0.9624622339587284,0.9683354057079485,0.07686286504479231,0.0035302144709434716,0.005078735270042262,X_with_covar
50,0.5342835903167724,0.0364565372467041,-0.0768085792127485,rfr,Random forest regression,median,,0.1,"{'imputer__strategy': 'median', 'regressor__max_features': 0.1}",1,-0.04021790370159395,-0.04268041091920782,-0.10511018439763253,-0.10688759183228824,-0.08914680521301999,0.039440011840508826,0.013796015775164023,0.029534959226232567,X_shuffled
51,0.4792463779449463,0.02301950454711914,-0.07999082220271445,rfr,Random forest regression,most_frequent,,0.1,"{'imputer__strategy': 'most_frequent', 'regressor__max_features': 0.1}",2,-0.055688755595122874,-0.04772896910465296,-0.11879751593235555,-0.10057879501440925,-0.07716007536703162,0.009051633582975607,0.0005111756475626036,0.026717989584134863,X_shuffled
52,0.4835040092468262,0.02394523620605469,-0.08137380267454479,rfr,Random forest regression,mean,,0.1,"{'imputer__strategy': 'mean', 'regressor__max_features': 0.1}",3,-0.056415782982323526,-0.05668996342550381,-0.10831340373681653,-0.09196899585900953,-0.09348086736907057,0.009371487294169182,0.001327472450076197,0.021056001075976955,X_shuffled
53,0.5296483993530273,0.024265336990356445,-0.08325144301155021,rfr,Random forest regression,constant,,0.1,"{'imputer__strategy': 'constant', 'regressor__max_features': 0.1}",4,-0.06609152525995121,-0.047732302991014164,-0.10749712839517267,-0.10879170560218587,-0.08614455280942712,0.0505310632900087,0.0012184335650962535,0.023683751570487674,X_shuffled
54,1.145270872116089,0.0241671085357666,-0.08632829117934211,rfr,Random forest regression,median,,0.33,"{'imputer__strategy': 'median', 'regressor__max_features': 0.33}",5,-0.06320939328477282,-0.04971098649873085,-0.12428503047866624,-0.09089738673435699,-0.10353865890018366,0.04101040041365082,0.0013610472972885245,0.02695588207218059,X_shuffled
55,1.7346432209014893,0.02382769584655762,-0.08807328031652713,rfr,Random forest regression,mean,,0.5,"{'imputer__strategy': 'mean', 'regressor__max_features': 0.5}",6,-0.06016654595160342,-0.04504790555766336,-0.13654577540141455,-0.10694524453923049,-0.0916609301327238,0.01433302473517058,0.0008556781036778998,0.03270649397485512,X_shuffled
56,1.1196370124816895,0.0239349365234375,-0.08932812672477186,rfr,Random forest regression,mean,,0.33,"{'imputer__strategy': 'mean', 'regressor__max_features': 0.33}",7,-0.07679175826864104,-0.038051610341392594,-0.11544056390699553,-0.11033617068156043,-0.10602053042526971,0.030448711576006225,0.00158677066529915,0.028942271141944496,X_shuffled
57,2.0596619129180906,0.024090337753295898,-0.09135709268668549,rfr,Random forest regression,mean,,0.66,"{'imputer__strategy': 'mean', 'regressor__max_features': 0.66}",8,-0.07452762439496241,-0.048921470164536185,-0.14324520029062238,-0.10391725592804879,-0.08617391265525765,0.03337785943719647,0.0009126169840114409,0.0314992438907034,X_shuffled
58,1.7964476585388183,0.024584245681762696,-0.09166999519374656,rfr,Random forest regression,median,,0.5,"{'imputer__strategy': 'median', 'regressor__max_features': 0.5}",9,-0.07634523436626495,-0.0420184524585967,-0.11694099624621224,-0.10784863665115574,-0.11519665624650322,0.09523965661148792,0.0022494132730188875,0.028823600414564263,X_shuffled
59,3.209682035446167,0.023819351196289064,-0.09260671173753306,rfr,Random forest regression,mean,,1.0,"{'imputer__strategy': 'mean', 'regressor__max_features': 1.0}",10,-0.07452566215332368,-0.06080884652172758,-0.13746149269234365,-0.10666248205759787,-0.0835750752626725,0.16021615375075324,0.0015743703618571875,0.02694110278944667,X_shuffled
